AlphaKeyboard;				letters
BackMany;					erase
BackOne;					cancel
Calibrate;					calibrate
CollapseDock;				collapse
Currencies1Keyboard;		currency 1
Currencies2Keyboard;		currency 2
Diacritic1Keyboard;			diacritic 1
Diacritic2Keyboard;			diacritic 2
Diacritic3Keyboard;			diacritic 3
ExpandDock;					expand
MenuKeyboard;				menu
MouseKeyboard;				mouse
MouseMagnifier;				magnifier
MouseMoveAndLeftClick;		clic
MouseMoveAndLeftDoubleClick;double clic
MouseMoveAndMiddleClick;	middle clic
MouseMoveAndRightClick;		right clic
MouseMoveAndScrollToBottom;	bottom
MouseMoveAndScrollToTop;	top
MouseMoveAndScrollToLeft;	left
MouseMoveAndScrollToRight;	right
NextSuggestions;			next
NoQuestionResult;			no
NumericAndSymbols1Keyboard; numeric 1
NumericAndSymbols2Keyboard; numeric 2
NumericAndSymbols3Keyboard;	numeric 3
PhysicalKeysKeyboard;		keyboard
PreviousSuggestions;		previous
Quit;						quit application
Sleep;						sleep
Speak;						speak
Suggestion1;				first word
Suggestion2;				second word
Suggestion3;				third word
Suggestion4;				fourth word
Suggestion5;				fifth word
Suggestion6;				sixth word
YesQuestionResult;			yes