AlphaKeyboard;				alphabet
BackMany;					éffacer
BackOne;					annuler
Calibrate;					calibration
CollapseDock;				rétrécir
Currencies1Keyboard;		monnaie 1
Currencies2Keyboard;		monnaie 2
Diacritic1Keyboard;			diacritique 1
Diacritic2Keyboard;			diacritique 2
Diacritic3Keyboard;			diacritique 3
ExpandDock;					agrandir
MenuKeyboard;				menu
MouseKeyboard;				souris
MouseMagnifier;				loupe
MouseMoveAndLeftClick;		clic
MouseMoveAndLeftDoubleClick;double clic
MouseMoveAndMiddleClick;	clic milieu
MouseMoveAndRightClick;		clic droit
MouseMoveAndScrollToBottom;	bas
MouseMoveAndScrollToTop;	haut
MouseMoveAndScrollToLeft;	gauche
MouseMoveAndScrollToRight;	droite
NextSuggestions;			suivant
NoQuestionResult;			non
NumericAndSymbols1Keyboard; nombre 1
NumericAndSymbols2Keyboard; nombre 2
NumericAndSymbols3Keyboard;	nombre 3
PhysicalKeysKeyboard;		clavier
PreviousSuggestions;		précédent
Quit;						quitter l'application
Sleep;						dors
Speak;						parles
Suggestion1;				premier mot
Suggestion2;				deuxième mot
Suggestion3;				troisième mot
Suggestion4;				quatrième mot
Suggestion5;				cinquième mot
Suggestion6;				sixième mot
YesQuestionResult;			oui